iter	Passed	Remaining
0	59	59335
1	59	29771
2	59	19898
3	60	14963
4	60	12000
5	60	10026
6	60	8617
7	60	7558
8	61	6733
9	61	6077
10	61	5544
11	61	5095
12	62	4715
13	62	4393
14	62	4114
15	62	3866
16	63	3647
17	63	3452
18	63	3278
19	63	3121
20	63	2982
21	64	2853
22	64	2734
23	64	2625
24	64	2525
25	64	2432
26	65	2346
27	65	2266
28	65	2192
29	65	2126
30	65	2062
31	66	2002
32	66	1947
33	66	1894
34	66	1843
35	67	1795
36	67	1750
37	67	1707
38	67	1667
39	67	1628
40	68	1591
41	68	1556
42	68	1523
43	68	1491
44	68	1461
45	69	1431
46	69	1404
47	69	1380
48	69	1358
49	70	1333
50	70	1311
51	70	1289
52	71	1269
53	71	1249
54	71	1229
55	71	1209
56	71	1190
57	72	1171
58	72	1153
59	72	1136
60	72	1119
61	72	1103
62	73	1088
63	73	1073
64	73	1058
65	73	1044
66	73	1030
67	74	1016
68	74	1003
69	74	990
70	74	977
71	74	965
72	75	953
73	75	942
74	75	931
75	75	920
76	75	909
77	76	899
78	76	889
79	76	879
80	76	870
81	76	861
82	77	850
83	77	841
84	77	833
85	77	824
86	77	816
87	77	808
88	78	800
89	78	793
90	78	785
91	78	778
92	79	770
93	79	763
94	79	756
95	79	749
96	79	743
97	80	736
98	80	730
99	80	723
100	80	717
101	80	711
102	81	705
103	81	700
104	81	694
105	81	688
106	81	683
107	82	678
108	82	672
109	82	667
110	82	662
111	82	657
112	83	652
113	83	647
114	83	643
115	83	638
116	83	633
117	84	628
118	84	624
119	84	619
120	84	615
121	84	610
122	85	607
123	85	604
124	85	600
125	86	596
126	86	592
127	86	588
128	86	584
129	86	581
130	87	577
131	87	574
132	87	570
133	87	566
134	87	563
135	88	559
136	88	556
137	88	552
138	88	549
139	88	546
140	89	543
141	89	539
142	89	535
143	89	532
144	89	529
145	90	526
146	90	523
147	90	520
148	90	517
149	90	514
150	90	511
151	91	508
152	91	505
153	91	503
154	91	500
155	92	498
156	92	495
157	92	492
158	92	490
159	92	487
160	92	484
161	93	482
162	93	479
163	93	477
164	93	474
165	93	472
166	94	469
167	94	467
168	94	464
169	94	462
170	95	460
171	95	458
172	95	456
173	95	454
174	95	451
175	96	449
176	96	447
177	96	445
178	96	443
179	96	441
180	97	438
181	97	436
182	97	434
183	97	433
184	97	431
185	98	428
186	98	427
187	98	425
188	98	423
189	98	421
190	99	419
191	99	417
192	99	415
193	99	413
194	99	411
195	99	410
196	100	408
197	100	406
198	100	405
199	101	404
200	101	403
201	101	401
202	101	400
203	102	398
204	102	397
205	102	395
206	102	393
207	102	392
208	103	390
209	103	388
210	103	387
211	103	385
212	104	384
213	104	382
214	104	381
215	104	379
216	104	378
217	105	376
218	105	375
219	105	373
220	105	372
221	105	370
222	106	369
223	106	368
224	106	366
225	106	365
226	106	363
227	107	362
228	107	361
229	107	359
230	107	358
231	107	357
232	108	356
233	108	354
234	108	353
235	108	352
236	108	350
237	109	349
238	109	348
239	109	346
240	109	345
241	109	344
242	110	343
243	110	341
244	110	340
245	110	339
246	110	338
247	111	337
248	111	335
249	111	334
250	111	333
251	111	332
252	112	330
253	112	329
254	112	328
255	112	327
256	112	326
257	113	325
258	113	324
259	113	323
260	113	322
261	113	321
262	114	319
263	114	318
264	114	317
265	114	316
266	115	315
267	115	314
268	115	313
269	115	312
270	115	311
271	116	311
272	116	310
273	116	309
274	117	308
275	117	307
276	117	306
277	117	306
278	118	305
279	118	304
280	118	303
281	118	302
282	118	301
283	119	300
284	119	299
285	119	298
286	119	297
287	119	296
288	120	295
289	120	294
290	120	293
291	120	292
292	120	291
293	121	290
294	121	290
295	121	289
296	121	288
297	121	287
298	122	286
299	122	285
300	122	284
301	122	283
302	123	282
303	123	282
304	123	281
305	123	280
306	123	279
307	123	278
308	124	277
309	124	276
310	124	275
311	124	275
312	124	274
313	125	273
314	125	272
315	125	271
316	125	270
317	125	270
318	126	269
319	126	268
320	126	267
321	126	266
322	126	266
323	127	265
324	127	264
325	127	263
326	127	262
327	127	262
328	128	261
329	128	260
330	128	259
331	128	259
332	129	258
333	129	257
334	129	257
335	129	256
336	129	255
337	130	254
338	130	253
339	130	253
340	130	252
341	130	251
342	131	251
343	131	250
344	131	249
345	131	249
346	132	248
347	132	247
348	132	247
349	132	246
350	132	245
351	133	245
352	133	244
353	133	243
354	133	243
355	134	242
356	134	241
357	134	241
358	134	240
359	134	239
360	135	238
361	135	238
362	135	237
363	135	237
364	135	236
365	136	235
366	136	234
367	136	234
368	136	233
369	136	233
370	137	232
371	137	231
372	137	231
373	137	230
374	137	229
375	138	229
376	138	228
377	138	227
378	138	227
379	138	226
380	139	225
381	139	225
382	139	224
383	139	224
384	139	223
385	140	222
386	140	222
387	140	221
388	140	220
389	140	220
390	141	219
391	141	219
392	141	218
393	141	217
394	141	217
395	142	216
396	142	216
397	142	215
398	142	214
399	142	214
400	142	213
401	143	212
402	143	212
403	143	211
404	143	211
405	143	210
406	144	210
407	144	209
408	144	208
409	144	208
410	144	207
411	145	207
412	145	206
413	145	205
414	145	205
415	145	204
416	146	204
417	146	203
418	146	203
419	146	202
420	146	202
421	147	201
422	147	201
423	147	200
424	148	200
425	148	200
426	148	199
427	148	198
428	149	198
429	149	197
430	149	197
431	149	196
432	149	196
433	150	195
434	150	195
435	150	194
436	150	194
437	150	193
438	151	193
439	151	192
440	151	192
441	151	191
442	151	191
443	152	190
444	152	190
445	152	189
446	152	188
447	152	188
448	153	187
449	153	187
450	153	186
451	153	186
452	154	185
453	154	185
454	154	184
455	154	184
456	154	183
457	155	183
458	155	183
459	155	182
460	155	182
461	155	181
462	156	181
463	156	180
464	156	180
465	156	179
466	157	179
467	157	178
468	157	178
469	157	177
470	157	177
471	158	176
472	158	176
473	158	175
474	158	175
475	158	174
476	159	174
477	159	173
478	159	173
479	159	172
480	159	172
481	159	171
482	160	171
483	160	170
484	160	170
485	160	170
486	160	169
487	161	169
488	161	168
489	161	168
490	161	167
491	161	167
492	162	166
493	162	166
494	162	165
495	162	165
496	163	165
497	163	164
498	163	164
499	163	163
500	163	163
501	164	162
502	164	162
503	164	161
504	164	161
505	164	160
506	164	160
507	165	159
508	165	159
509	165	159
510	165	158
511	165	158
512	166	157
513	166	157
514	166	156
515	166	156
516	166	155
517	167	155
518	167	155
519	167	154
520	167	154
521	167	153
522	168	153
523	168	152
524	168	152
525	168	152
526	168	151
527	169	151
528	169	150
529	169	150
530	169	149
531	169	149
532	170	149
533	170	148
534	170	148
535	170	147
536	170	147
537	170	146
538	171	146
539	171	146
540	171	145
541	171	145
542	171	144
543	172	144
544	172	143
545	172	143
546	172	143
547	172	142
548	173	142
549	173	141
550	173	141
551	173	141
552	174	140
553	174	140
554	174	139
555	174	139
556	174	139
557	175	138
558	175	138
559	175	137
560	175	137
561	175	137
562	176	136
563	176	136
564	176	135
565	176	135
566	176	135
567	176	134
568	177	134
569	177	133
570	177	133
571	177	133
572	177	132
573	178	132
574	178	131
575	178	131
576	178	131
577	179	130
578	179	130
579	179	130
580	179	129
581	179	129
582	180	128
583	180	128
584	180	128
585	180	127
586	180	127
587	181	126
588	181	126
589	181	126
590	181	125
591	181	125
592	182	125
593	182	124
594	182	124
595	182	123
596	182	123
597	183	123
598	183	122
599	183	122
600	183	121
601	183	121
602	184	121
603	184	120
604	184	120
605	184	120
606	184	119
607	185	119
608	185	118
609	185	118
610	185	118
611	185	117
612	186	117
613	186	117
614	186	116
615	186	116
616	186	115
617	187	115
618	187	115
619	187	114
620	187	114
621	187	114
622	188	113
623	188	113
624	188	113
625	188	112
626	188	112
627	189	111
628	189	111
629	189	111
630	189	110
631	189	110
632	190	110
633	190	109
634	190	109
635	190	109
636	190	108
637	191	108
638	191	108
639	191	107
640	191	107
641	191	106
642	192	106
643	192	106
644	192	105
645	192	105
646	192	105
647	193	104
648	193	104
649	193	104
650	193	103
651	193	103
652	194	103
653	194	102
654	194	102
655	194	102
656	195	101
657	195	101
658	195	101
659	195	100
660	195	100
661	196	100
662	196	99
663	196	99
664	196	99
665	196	98
666	197	98
667	197	98
668	197	97
669	197	97
670	197	97
671	198	96
672	198	96
673	198	96
674	198	95
675	198	95
676	199	94
677	199	94
678	199	94
679	199	93
680	199	93
681	200	93
682	200	92
683	200	92
684	200	92
685	200	91
686	201	91
687	201	91
688	201	90
689	201	90
690	201	90
691	202	89
692	202	89
693	202	89
694	202	88
695	202	88
696	203	88
697	203	87
698	203	87
699	203	87
700	203	86
701	204	86
702	204	86
703	204	85
704	204	85
705	204	85
706	204	84
707	205	84
708	205	84
709	205	83
710	205	83
711	206	83
712	206	83
713	206	82
714	206	82
715	206	82
716	206	81
717	207	81
718	207	81
719	207	80
720	207	80
721	207	80
722	208	79
723	208	79
724	208	79
725	208	78
726	209	78
727	209	78
728	209	77
729	209	77
730	210	77
731	210	76
732	210	76
733	210	76
734	210	76
735	211	75
736	211	75
737	211	75
738	211	74
739	212	74
740	212	74
741	212	73
742	212	73
743	213	73
744	213	72
745	213	72
746	213	72
747	213	72
748	214	71
749	214	71
750	214	71
751	214	70
752	214	70
753	214	70
754	215	69
755	215	69
756	215	69
757	215	68
758	215	68
759	216	68
760	216	68
761	217	67
762	217	67
763	217	67
764	217	66
765	217	66
766	218	66
767	218	65
768	218	65
769	218	65
770	218	65
771	219	64
772	219	64
773	219	64
774	219	63
775	219	63
776	220	63
777	220	62
778	220	62
779	220	62
780	220	61
781	221	61
782	221	61
783	221	61
784	221	60
785	221	60
786	222	60
787	222	59
788	222	59
789	222	59
790	222	58
791	223	58
792	223	58
793	223	57
794	223	57
795	223	57
796	224	57
797	224	56
798	224	56
799	224	56
800	224	55
801	225	55
802	225	55
803	225	55
804	225	54
805	226	54
806	226	54
807	226	53
808	226	53
809	227	53
810	227	53
811	227	52
812	227	52
813	228	52
814	228	51
815	228	51
816	228	51
817	228	50
818	229	50
819	229	50
820	229	50
821	229	49
822	229	49
823	230	49
824	230	48
825	230	48
826	230	48
827	230	47
828	231	47
829	231	47
830	231	47
831	231	46
832	231	46
833	232	46
834	232	45
835	232	45
836	232	45
837	232	45
838	233	44
839	233	44
840	233	44
841	233	43
842	233	43
843	234	43
844	234	42
845	234	42
846	234	42
847	234	42
848	234	41
849	235	41
850	235	41
851	235	40
852	235	40
853	236	40
854	236	40
855	236	39
856	236	39
857	236	39
858	237	38
859	237	38
860	237	38
861	237	38
862	237	37
863	238	37
864	238	37
865	238	36
866	238	36
867	238	36
868	239	36
869	239	35
870	239	35
871	239	35
872	239	34
873	240	34
874	240	34
875	240	34
876	240	33
877	240	33
878	241	33
879	241	32
880	241	32
881	241	32
882	242	32
883	242	31
884	242	31
885	242	31
886	242	30
887	243	30
888	243	30
889	243	30
890	243	29
891	244	29
892	244	29
893	244	28
894	244	28
895	244	28
896	245	28
897	245	27
898	245	27
899	245	27
900	245	27
901	246	26
902	246	26
903	246	26
904	246	25
905	246	25
906	246	25
907	247	25
908	247	24
909	247	24
910	247	24
911	247	23
912	248	23
913	248	23
914	248	23
915	248	22
916	248	22
917	249	22
918	249	21
919	249	21
920	249	21
921	249	21
922	250	20
923	250	20
924	250	20
925	250	20
926	250	19
927	251	19
928	251	19
929	251	18
930	251	18
931	251	18
932	252	18
933	252	17
934	252	17
935	252	17
936	252	17
937	253	16
938	253	16
939	253	16
940	253	15
941	253	15
942	254	15
943	254	15
944	254	14
945	254	14
946	254	14
947	255	13
948	255	13
949	255	13
950	255	13
951	255	12
952	256	12
953	256	12
954	256	12
955	256	11
956	256	11
957	257	11
958	257	11
959	257	10
960	257	10
961	258	10
962	258	9
963	258	9
964	258	9
965	259	9
966	259	8
967	259	8
968	259	8
969	259	8
970	260	7
971	260	7
972	260	7
973	260	6
974	260	6
975	261	6
976	261	6
977	261	5
978	261	5
979	261	5
980	262	5
981	262	4
982	262	4
983	262	4
984	262	4
985	263	3
986	263	3
987	263	3
988	263	2
989	263	2
990	263	2
991	264	2
992	264	1
993	264	1
994	264	1
995	264	1
996	265	0
997	265	0
998	265	0
999	265	0
